"Name","Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Qty"
"A","B3F-1050","DIP","","","","","","1"
"A1","frame","","","","","","","1"
"A2","frame","","","","","","","1"
"B","B3F-1050","DIP","","","","","","1"
"C1","Ceramic","C","","","","","","1"
"C2","Ceramic","C","","","","","","1"
"C3","Ceramic","C","","","","","","1"
"C4","Ceramic","C","","","","","","1"
"C5","Ceramic","C","","","","","","1"
"C6","Ceramic","C","","","","","","1"
"C7","Ceramic","C","","","","","","1"
"C8","Ceramic","C","","","","","","1"
"C9","tantalum","C","","","","","","1"
"C10","Ceramic","C","","","","","","1"
"C11","Ceramic","C","","","","","","1"
"C12","tantalum","C","","","","","","1"
"C13","tantalum","C","","","","","","1"
"C14","Ceramic","C","","","","","","1"
"C15","Ceramic","C","","","","","","1"
"C16","Ceramic","C","","","","","","1"
"C17","Ceramic","C","","","","","","1"
"C18","Ceramic","C","","","","","","1"
"C19","Ceramic","C","","","","","","1"
"C20","Ceramic","C","","","","","","1"
"C21","Ceramic","C","","","","","","1"
"C22","Capacitor(Tantalum)","C","0.1 uF","","","","","1"
"C23","Capacitor(Tantalum)","C","fb","","","","","1"
"C24","Ceramic","C","","","","","","1"
"C25","Ceramic","C","","","","","","1"
"C26","Ceramic","C","","","","","","1"
"D1","LEDT1.75","SIP","","","","","","1"
"D2","LEDT1.75","SIP","","","","","","1"
"D3","LEDT1.75","SIP","","","","","","1"
"D4","LEDT1.75","SIP","","","","","","1"
"D5","LEDT1.75","SIP","","","","","","1"
"D6","LEDT1.75","SIP","","","","","","1"
"D7","LEDT1.75","SIP","","","","","","1"
"Down","B3F-1050","DIP","","","","","","1"
"GND","testpoint","SIP","","","","","","1"
"GND1","Gnd","","","","","","","1"
"GND2","Gnd","","","","","","","1"
"GND3","Gnd","","","","","","","1"
"GND4","Gnd","","","","","","","1"
"GND5","Gnd","","","","","","","1"
"GND6","Gnd","","","","","","","1"
"GND7","Gnd","","","","","","","1"
"GND8","Gnd","","","","","","","1"
"GND9","Gnd","","","","","","","1"
"GND10","Gnd","","","","","","","1"
"GND11","Gnd","","","","","","","1"
"GND12","Gnd","","","","","","","1"
"GND13","Gnd","","","","","","","1"
"GND14","Gnd","","","","","","","1"
"GND15","Gnd","","","","","","","1"
"GND16","Gnd","","","","","","","1"
"GND17","Gnd","","","","","","","1"
"GND18","Gnd","","","","","","","1"
"GND19","Gnd","","","","","","","1"
"GND20","testpoint","SIP","","","","","","1"
"GND21","Gnd","","","","","","","1"
"GND22","Gnd","","","","","","","1"
"GND23","Gnd","","","","","","","1"
"GND24","testpoint","SIP","","","","","","1"
"GND25","testpoint","SIP","","","","","","1"
"GND26","testpoint","SIP","","","","","","1"
"J1","BDMConnector","MOLEX 87049-0616","","","","","","1"
"J2","PowerJumper","SIP","","","","","","1"
"J3","SerialDB9","SM","","","","","","1"
"J4","AGM1264","MISC","","","","","","1"
"J5","Speaker","DIP","","","","","","1"
"J6","LogicAnalyzer","DIP","","","","","","1"
"J7","Jumper3","SIP","","","","","","1"
"J8","Jumper3","SIP","","","","","","1"
"Left","B3F-1050","DIP","","","","","","1"
"OnOff","OffBoardSwitch","DIP","","","","","","1"
"Q1","LM317L","TO92","","","","","","1"
"R1","0.125Wresistor","DIL","","","","","","1"
"R2","0.125Wresistor","DIL","","","","","","1"
"R3","0.125Wresistor","DIL","","","","","","1"
"R4","0.125Wresistor","DIL","","","","","","1"
"R5","0.125Wresistor","DIL","","","","","","1"
"R6","SmallPot","SIP","","","","","","1"
"R7","0.25Wresistor","DIP","","","","","","1"
"R8","0.25Wresistor","DIP","","","","","","1"
"R9","0.25Wresistor","DIP","","","","","","1"
"R10","0.25Wresistor","DIP","","","","","","1"
"R11","0.25Wresistor","DIP","","","","","","1"
"R12","0.25Wresistor","DIP","","","","","","1"
"R13","0.25Wresistor","DIP","","","","","","1"
"R14","0.25Wresistor","DIP","","","","","","1"
"R15","0.25Wresistor","DIP","","","","","","1"
"R16","0.25Wresistor","DIP","","","","","","1"
"R17","0.25Wresistor","DIP","","","","","","1"
"R18","0.25Wresistor","DIP","","","","","","1"
"R19","0.25Wresistor","DIP","","","","","","1"
"R20","0.25Wresistor","DIP","","","","","","1"
"R21","0.25Wresistor","DIP","","","","","","1"
"R22","0.25Wresistor","DIP","","","","","","1"
"R23","0.25Wresistor","DIP","","","","","","1"
"R25","0.25Wresistor","DIP","","","","","","1"
"R26","0.25Wresistor","DIP","","","","","","1"
"R27","0.125Wresistor","DIL","","","","","","1"
"R28","0.125Wresistor","DIL","","","","","","1"
"REF1","+5V","","","","","","","1"
"REF2","+5V","","","","","","","1"
"REF3","+5V","","","","","","","1"
"REF4","+5V","","","","","","","1"
"REF5","+5V","","","","","","","1"
"REF6","+5V","","","","","","","1"
"REF7","+5V","","","","","","","1"
"REF8","+5V","","","","","","","1"
"REF9","+5V","","","","","","","1"
"REF10","+5V","","","","","","","1"
"REF11","+5V","","","","","","","1"
"Reset","B3F-1050","DIP","","","","","","1"
"Right","B3F-1050","DIP","","","","","","1"
"Serpac272Box","Serpac272Box","MISC","","","","","","1"
"SW6","SPDT","MISC","","","","","","1"
"U1","MC9S12C32MFUE25","QFP80","","","","","","1"
"U2","LM7805CT","TO-220","","","LM7805","","","1"
"U3","MAX3232","DIP","","","","","","1"
"U4","MC34119","DIP","","","","","","1"
"U5","LM4041","MISC","","","","","","1"
"U6","TLV5616","SKDIP","","","","","","1"
"U7","XBee","DIP","","","","","","1"
"U8","7407","DIP","","","","","","1"
"Up","B3F-1050","DIP","","","","","","1"
"V4","+5","","","","","","","1"
"V5","+5","","","","","","","1"
"V6","+5","","","","","","","1"
"V7","+5","","","","","","","1"
"V8","+5","","","","","","","1"
"V9","+5","","","","","","","1"
"V33","testpoint","SIP","","","","","","1"
"Vcc","testpoint","SIP","","","","","","1"
"Y1","XTAL","DSC","","","","","","1"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
